uid,up_name,followers,n_videos,avg_play,med_play,std_play,avg_comment_scraped,med_comment_scraped,avg_danmaku,med_danmaku,avg_title_len,avg_desc_len,avg_length,std_length,danmaku_missing_rate,upload_freq,sentiment_mean_comment,sentiment_std_comment,sentiment_mean_danmaku,sentiment_std_danmaku,comment_topic_diversity,danmaku_topic_diversity,content_cohesion,comment_repetition,danmaku_repetition,comment_semantic_cohesion,danmaku_semantic_cohesion,pca_x,pca_y,cluster,label_binary
75,丸子,1608050,20,122840.4,86304.0,117223.98721314400,100.55,101.0,170.95,109.0,48.1,83.2,486.85,277.835292934501,0.0,33.333333333333300,0.5910836464997750,0.2623323789683750,0.5754440202875950,0.3210231298695540,0.1209901062712050,1.2675951858947400,0.6900416016578670,0.3749409231738700,0.3339953810623560,0.5651319026947020,0.600705087184906,-0.18583901337066,-0.0480076900365984,3,1
63231,泛式,6527652,20,2729657.3,2551415.0,1209301.9747942500,101.0,101.0,2311.0,1800.0,28.6,108.2,859.2,269.00999785764200,0.0,2.803738317757010,0.6702309014621460,0.2411830552298230,0.6528282176750060,0.2763381367706870,0.1378506987558840,1.2455167168002700,0.6666193008422850,0.3846975602714020,0.3931721365572690,0.5728760957717900,0.6566051244735720,3.4426653619328300,-0.5732314566854760,2,1
168598,逍遥散人,7466450,20,1702112.4,1017824.0,1963026.2588599000,100.9,101.0,2902.6,1764.5,23.75,51.2,4643.5,7349.216889896290,0.0,5.555555555555560,0.656511578266532,0.2607449657404380,0.643769100690857,0.2982695157129630,0.6341061834871160,1.403252713163260,0.6966891884803770,0.3782731776362350,0.3487990720556770,0.5899624228477480,0.6050423383712770,2.4988595521803900,0.3096611598835600,3,1
194128,赖美云,495760,20,106008.2,23603.0,284134.00492384400,95.25,100.0,97.85,39.5,20.6,66.0,108.2,81.97599135048470,0.0,1.935483870967740,0.7485289358863920,0.216953371633675,0.8139382053764350,0.2201967241271220,0.6642679343869760,1.3057156090695800,0.578818678855896,0.4772410883779790,0.8009910188912980,0.619873046875,0.6533903479576110,-0.4684685442162070,-0.0078023490052284,3,1
249118,shourei小N,2203491,20,351374.25,250486.5,289027.97475274100,100.55,101.0,277.5,130.5,16.3,53.85,164.85,190.73853004074800,0.0,1.1695906432748500,0.6395811685770820,0.2500175080771620,0.6627193101667510,0.2878545427223750,0.6623973783534930,1.2552437039592200,0.6501596570014950,0.4214169233556800,0.4517834460503280,0.5847634673118590,0.587272584438324,0.0080225584822496,-0.0271110624291235,3,1
367877,笔吧评测室,2533198,20,313190.6,309094.5,177678.45537386400,100.9,101.0,1033.1,814.0,27.0,150.95,999.05,857.9870858431870,0.0,9.67741935483871,0.595456249731555,0.2792694905634480,0.5637719372275270,0.3229193334774300,0.0765444581075247,1.0406962493930200,0.6425037384033200,0.3700678462152450,0.3239487312791190,0.5279672145843510,0.5151103734970090,0.5875794808980480,-0.079795284032563,3,1
546195,老番茄,19978698,20,4004268.05,3545996.5,1752477.281705300,100.9,101.0,2489.7,1800.0,12.85,42.35,1037.9,522.40163012561,0.0,4.8,0.6478904598838820,0.2453118370988720,0.6582188042881440,0.2806282953219630,0.6018610735411530,1.2553428464946800,0.6118707656860350,0.4288300892967370,0.36972,0.6075825691223150,0.648988664150238,4.439846835998760,-0.6753719737627940,2,1
718918,熊妹撩电影,178259,20,72942.85,17712.5,119407.52893095700,35.15,25.5,51.9,29.5,23.8,7.85,391.45,143.3169013428850,0.0,8.21917808219178,0.6903293064688130,0.2519726943812410,0.6197818456763160,0.3276106593338020,1.7108914755521500,1.330225003443570,0.7148520350456240,0.3877480883237390,0.3536664503569110,0.5539144277572630,0.5913969874382020,-0.8858684279652750,-0.1302135275364820,3,0
946974,影视飓风,14273513,20,4176490.4,3287626.0,3134566.331594710,95.9,101.0,2629.25,1800.0,20.65,136.2,3234.8,8218.695776927400,0.05,12.244897959183700,0.629741809349575,0.2576374054459930,0.7137233299232880,0.290234314278583,1.5069247864253000,1.0008211398503200,0.5481581091880800,0.3936778419182950,0.3849769013859170,0.512403666973114,0.5988727807998660,4.438440544078400,-0.0145185641187616,2,1
3404595,卡布叻_周深,3236949,20,2038142.3,1566402.0,1473223.7626427900,95.9,101.0,1140.0,1200.0,26.9,45.35,305.2,86.19720352039760,0.05,0.6960556844547560,0.7484487791703980,0.2191595306306800,0.834967271057652,0.2295254098532510,1.0206840650427700,1.2496845834600700,0.7297566533088680,0.4541119895672020,0.51548,0.6118350028991700,0.6645302772521970,1.8291899073848500,-0.3806561035307520,3,1
3670216,TF家族,7359462,20,1416576.9,1384565.5,450012.48885066300,100.8,101.0,7638.0,9600.0,28.3,0.0,4352.85,2183.781854224940,0.0,16.216216216216200,0.776242221229791,0.209682733748383,0.7426268269821130,0.2721601747905940,1.694087254446360,1.4015330004086800,0.8407666087150570,0.4031642887413480,0.58026,0.6256648302078250,0.7063276171684270,6.435253597583940,-1.3249165474676800,2,1
3766866,科技美学,4447239,20,684579.1,352358.0,756738.1768220690,100.85,101.0,1248.4,1200.0,50.5,51.0,851.95,344.5096400759540,0.0,9.375,0.6022625356306810,0.2760423709610160,0.6685858010597700,0.3277253906623790,0.9151700463354860,1.2881164305142200,0.6365009546279910,0.378012048192771,0.3143845477085500,0.5158591270446780,0.5400590896606450,0.9358149783870650,-0.1825901936067900,3,1
4549624,Liyuu_,631604,20,161866.45,81516.0,229368.6230235820,100.2,100.0,103.45,64.0,21.6,15.3,121.65,110.00204543552800,0.0,1.910828025477710,0.6944464343393630,0.2234058915802050,0.6806903772759210,0.293379160342632,1.0557875451620100,0.5629936323405580,0.7138394117355350,0.5322506861848120,0.3476480354178200,0.6202797889709470,0.6385518908500670,-0.4775496660668860,-0.0068935402833409,3,1
4976111,龚琳娜,575037,20,456736.25,27080.5,1492828.4658292400,72.6,96.0,322.85,64.0,27.15,116.5,464.2,667.2266718132210,0.05,3.846153846153850,0.7432163456036680,0.2323708050800260,0.7919290288452010,0.2584131046884980,1.1525103798127500,1.0057521952250800,0.7054293751716610,0.4183074123097290,0.4372274500803310,0.5963473916053770,0.6045434474945070,-0.3696107869339350,-0.0366026759782299,3,1
6014992,叫我棉被,1890836,20,143713.8,109217.0,117269.69959954900,100.8,101.0,218.95,126.5,42.95,50.5,801.6,1234.8540250401600,0.0,42.85714285714290,0.5848268165483160,0.2592682096362830,0.6602058417732070,0.320330445128843,1.0226813794340000,0.5799380761066640,0.7367988228797910,0.3745588199498580,0.3296469754811290,0.5658020973205570,0.5892415046691900,-0.1562073472196070,0.0077608493163031,3,1
8482768,ZEALER官方频道,877012,20,56239.8,29831.5,66192.62452044990,69.75,71.5,257.65,72.5,30.2,78.6,817.65,929.6953250223540,0.0,5.9405940594059400,0.6133192217691830,0.2982298593104970,0.6809522538062190,0.3196535763106810,0.3956933609085180,1.163307524867980,0.5788542628288270,0.3515752051737830,0.3341115434500650,0.4807878136634830,0.5318076014518740,-0.3929766140543730,0.022189105146939,3,1
10399934,白泽talk,4999,20,3692.75,2870.5,2849.5317967214000,18.8,14.0,4.15,0.0,28.6,173.75,1948.2,1534.729449841410,0.65,1.5789473684210500,0.7160219200787710,0.2520706265989040,0.7058031655040130,0.2673719260282260,1.5339485299234600,1.94472533845508,0.5938027501106260,0.3754919007961930,0.7799043062200960,0.4987328648567200,0.6371510028839110,-1.7150999594936900,-0.2122456940150520,0,0
11253297,多多poi丶,3027399,20,262242.95,169996.0,230556.2390847230,99.7,101.0,302.7,200.0,22.55,74.95,396.75,345.03483805796200,0.0,2.158273381294960,0.6661792143062130,0.2312751722882820,0.7064794456710230,0.2993205276487830,0.3205602653214070,0.778958396314642,0.6343455910682680,0.3975812784670960,0.410047607116011,0.6043635010719300,0.6312804818153380,0.0019626871422909,-0.0019501357117772,3,1
12807175,法老爷爷,1900407,20,591235.35,63870.0,1532846.7925987400,100.5,100.5,612.6,123.0,20.5,36.2,516.05,797.4366482014340,0.0,2.6200873362445400,0.6743932879316760,0.2404343731774040,0.7541827245204490,0.276535922786209,1.3421211011941400,1.0500988833288600,0.7305324077606200,0.4009288859400450,0.41926,0.5834073424339290,0.5931318998336790,0.1757677582374330,0.0336820356181289,3,1
12890453,程序员鱼皮,707383,20,63845.6,33253.5,80355.61946707180,80.05,100.0,92.45,46.0,22.8,181.85,452.55,296.39846490830500,0.0,9.67741935483871,0.6390274503962870,0.2707892076344410,0.5616742067158390,0.3285034088074400,0.0453513556963209,1.0415642480325400,0.5416445136070250,0.3634061732458920,0.3349784731702190,0.4926694929599760,0.5487741827964780,-0.3960032632523200,-0.0164644986811763,3,1
13164144,魔法Zc目录,3179136,20,705801.55,577022.5,371871.788668519,101.0,101.0,619.5,247.5,47.4,60.45,1787.75,1464.964266673960,0.0,9.523809523809520,0.6287043366599640,0.2540748987021240,0.5969654507818540,0.2978244044203770,0.0503326019270056,0.5022694093739210,0.8036679029464720,0.3667447916666670,0.3326800783905930,0.5732508897781370,0.6014220118522640,0.5879534043428190,0.0854020196291369,3,1
18343098,河野华,3229028,20,2017937.45,1488778.5,1630862.1414243800,101.0,101.0,1241.6,980.0,16.4,73.9,447.85,563.4635630119350,0.0,1.5957446808510600,0.6725320656009310,0.2368749436140540,0.6942928336149220,0.3029507538994540,0.8123436524579520,1.0831638795320700,0.6336284875869750,0.4251898168825370,0.5845083098338030,0.6174945831298830,0.6427319049835210,1.913691480050020,-0.2832591517643060,3,1
20713882,单依纯,1254701,20,1073989.7,738515.0,1390579.6492537000,100.9,101.0,1108.0,1200.0,20.75,2.65,456.15,438.9276735768420,0.0,5.0,0.7142888499734000,0.2530361444530660,0.7239504918850080,0.256894168794653,1.8288682786777600,1.1803803923687700,0.7112261056900020,0.3897559505875260,0.50928,0.5992285013198850,0.6562459468841550,1.227133558988980,-0.2244598325485130,3,1
21149898,林森小朋友,777281,20,145215.55,68289.0,227169.9958411570,66.7,67.5,53.0,23.5,18.5,1.0,232.1,143.5863576572060,0.05,3.409090909090910,0.7880204826666010,0.2303404702633050,0.7663743078849230,0.2642049794203290,1.83493466007134,1.643219843571720,0.7286010384559630,0.4267527562892120,0.4290041650889810,0.5904697179794310,0.647549033164978,-0.6623483303794010,-0.0833804716263515,3,1
23408614,互联网产品小龙虾,26973,20,1441.8,1110.5,939.3090741827770,8.05,3.5,0.15,0.0,29.45,93.25,1887.4,1281.6769606960000,0.85,8.955223880597010,0.7455649557320970,0.1582275939613950,0.2514167154828710,0.1929050914665770,1.8778746171823200,0.0,0.7218350172042850,0.6866485013623980,1.0,0.6661291718482970,0.628795325756073,-2.703372602143770,-0.3915523961637780,0,0
